Type,Word,wiki_cat,dot_obj,RP Class,Sentence,Annotator1,Annotator2,is_consistent
ORG,中國共產黨,political party,organization*human,organization,述此研究，稱這證明了<中國共產黨>代表絕大多數中國人民的利益丶為中國人民服務，因此,organization,organization,True
ORG,中研院,educational institution,organization*location*human,organization,KMT青年團是覺得中山在職專班等級跟<中研院>院士相等嗎,organization,organization,True
ORG,吉野家,business,producer*product*location,product,剛剛去吃個<吉野家>隔壁桌是幾個小朋友,product,producer,False
ORG,哈佛,university,organization*location*human,X,<哈佛>商業評論說這部戲是創業最佳教材,?,organization,False
ORG,微軟,business,producer*product*location,producer,最後可能<微軟>當老闆字節當大股東,producer,producer,True
PRODUCT,Google,business,producer*product*location,producer,<Google>的GMS還未解禁，迫使華為開始在新機上提供華為行動服務（HMS）。華為日前在終端,producer,producer,True
ORG,華航,business,producer*product*location,producer,<華航>要是能上能榜單上其他人都會不服了,producer,producer,True
ORG,中山大學,university,organization*location*human,organization,李眉蓁表示，自己是依照<中山大學>正常程序畢業，論文方面尊重學校審查，「這場選戰，,organization,organization,True
WORK_OF_ART,中國時報,mass media,organization*information*physical*human,organization,<中國時報>認為台灣不應該協助國際,organization,organization,True
WORK_OF_ART,諾貝爾文學獎,award,physical*event*human,event,想必有其他不無聊的<諾貝爾文學獎>作品可推薦吧,human,event,False
ORG,海軍,military unit,organization*human,organization,竟然把機密內容轉發給<海軍>內部多名人士，不是天真、愚蠢就是別有用心。,organization,organization,True
ORG,自由亞洲電台,mass media,organization*information*physical*human,organization,<自由亞洲電台>報導，法庭上，孟晚舟案的焦點還是在雙重犯罪認定問題上。孟晚舟律師強調加拿大沒有制裁伊朗，因此就沒有金融欺詐的問題。但法官反問，如果溫哥華的某人對另一個國家的外國銀行撒謊，導致財務損失，那會不會在加拿大被起訴為欺詐？甚至引用一個過去判例稱，如果加拿大和德國所得稅法不同，有人被指控撒謊來逃避繳稅，加拿大法官需稱引渡無效嗎？,organization,organization,True
PRODUCT,安卓,business,producer*product*location,product,你買<安卓>最高規格只能買蘋果的規格阿,product,product,True
GPE,美國,human-geographic territorial entity,location*organization,organization,我大中國看<美國>可憐農產品滯銷才進口的,organization,organization,True
GPE,淡水,human-geographic territorial entity,location*organization,location,炒地狀元跟<淡水>蔡依林輸了一點都不惋惜,location,location,True
ORG,北大,university,organization*location*human,organization,，轉學考去考<北大>的一大堆都東吳的,organization,organization,True
GPE,花蓮,human-geographic territorial entity,location*organization,location,<花蓮>凌晨死亡車禍休旅車女駕駛擦撞曳引車傷重不治,location,location,True
ORG,中國國民黨,political party,organization*human,organization,婦聯會垮台，轉型正義的火燒到<中國國民黨>後院！但這一切仍相當不容易，在黨國利,organization,organization,True
PRODUCT,勞斯萊斯,business,producer*product*location,product,想到一輛要價上千萬的<勞斯萊斯>靠到路邊時，不慎撞到機車後方，但駕駛卻指控女騎士為,product,product,True
ORG,中國共產黨,political party,organization*human,organization,<中國共產黨>只是暫時管理中國大陸土地。,organization,organization,True
PRODUCT,勞斯萊斯,business,producer*product*location,product,<勞斯萊斯>汽車全球限量，每輛至少千萬人民幣，但中國青島索爾公司不但可以長期山寨,product,product,True
GPE,泰國,human-geographic territorial entity,location*organization,location,天聚集了約2000多人，是2014年軍事政變以來<泰國>最大規模的抗議。學生集會到半夜後解,location,location,True
WORK_OF_ART,金曲獎,award,physical*event*human,physical,曾合作「寂寞寂寞就好」MV，並奪下<金曲獎>最佳音樂錄影帶的金獎導演徐筠軒合作，年初,physical,physical,True
WORK_OF_ART,聖經,work of art,information*physical,physical,依照集團規定除了<聖經>還要放一本The book of Mormon,physical,physical,True
ORG,台鐵,business,producer*product*location,product,，目前不太會發生司機員停錯位子的情況，但900型通勤電聯車進來後，希望<台鐵>停靠車,product,product,True
ORG,好市多,business,producer*product*location,location,這幾天汐止<好市多>也都有衛生紙能買,location,location,True
ORG,星巴克,business,producer*product*location,product,自己煮隨便都屌打超商跟<星巴克>好嗎= =,product,producer,False
ORG,中山大學,university,organization*location*human,organization,<中山大學>表示，根據中山大學研究生學位考試施行細則第12條，碩士學位考試委員會至少,organization,organization,True
ORG,大潤發,business,producer*product*location,producer,感覺好像<大潤發>家樂福平常就有的,producer,producer,True
GPE,東京,human-geographic territorial entity,location*organization,location,<東京>4日再添118例武漢肺炎確診，是東京單日新增確診病例首度超過100例，累計891例。,location,location,True
ORG,微信,business,producer*product*location,product,中國的<微信>用戶收不到美國的微信用戶發出的訊息，因為裡面含有敏感詞「冠狀病毒」與,product,product,True
ORG,北捷,business,producer*product*location,producer,而已 今天<北捷>是有公佈個人隱私了是不是,producer,producer,True
ORG,哈佛,university,organization*location*human,organization,同是從<哈佛>畢業的謝佩芬在直播節目《94要客訴》中表示，自己就讀哈佛公衛學院的,organization,organization,True
ORG,國軍,military unit,organization*human,organization,媒體追問<國軍>黑鷹直升機失事和這個有關係嗎？張善政則說，「你要怎麼想是你自己的事,organization,organization,True
PRODUCT,TikTok,business,producer*product*location,product,4.完整新聞內文:繼美國與印度相繼禁止使用中國TikTok應用程式後，北歐國家瑞典也開出第一槍，根據《法廣》報導，瑞典公共電視台（SVT）信息技術部認為，TikTok開發、並向其中國母公司字節跳動提供過多數據。因此，該電視台決定：禁止員工在工作電話上使用<TikTok>應用程式。,product,product,True
GPE,台北市,human-geographic territorial entity,location*organization,organization,「國中小學教室申裝冷氣的議題，對<台北市>來說就跟浴缸裡的塞子一樣，是小事一椿。」,organization,organization,True
ORG,長榮,business,producer*product*location,producer,應該是<長榮>那班澳洲航班的事確認完才開吧,producer,product,False
ORG,德軍,military unit,organization*human,organization,要是在防線正面交鋒<德軍>大概打不過法國，,organization,organization,True
ORG,自由亞洲電台,mass media,organization*information*physical*human,organization,美國<自由亞洲電台>1日引述報導，這一倡議似乎包含所有中國政策銀行的借款。但是有外,organization,organization,True
ORG,臺大,university,organization*location*human,X,雙方發生租屋糾紛。嗣未經查證，以李小姐騙了十年臺灣人的錢等語，於本人臉書、<臺大>,?,X,False
ORG,台積,business,producer*product*location,producer,然後很多人一到了現場就後悔了，因為到了那邊才發現中國那邊不管是資源，設備跟人力都遠遠不足，以他們的情況根本做不出來，然後趕快辭職想要回來<台積>，但是台積對於跳槽過去的人基本上不會收的，所以變得兩頭落空，所以奉勸想要跳槽到中國半導體產業的人，捏捏自己的層級，不是人人都是梁孟松。,producer,producer,True
PRODUCT,TikTok,business,producer*product*location,product,<TikTok>的使用給美國國家安全帶來了不可接受的風險。,product,product,True
GPE,紐約,human-geographic territorial entity,location*organization,organization,<紐約>公開信這個活動的發起人不是阿滴一個人呢……,organization,organization,True
ORG,微博,business,producer*product*location,product,不簡單<微博>臉書分手發文有什麼問題+1,product,product,True
ORG,台積,business,producer*product*location,producer,可悲彎彎窮成那樣連<台積>都挖準備吃土囉,producer,producer,True
ORG,國軍,military unit,organization*human,organization,不想冒生命危險的，可以加入伙房兵，讓<國軍>部隊天天有正宗燒肉飯可以吃。,organization,organization,True
ORG,台科大,university,organization*location*human,human,清大拾穗生，數理化科搞不好還會還輸給<台科大>,human,organization,False
ORG,鴻海,business,producer*product*location,producer,整合，以裕隆旗下華創車電的整車技術開發，結合<鴻海>在電子零組件的製造設計能力，發,producer,producer,True
ORG,微軟,business,producer*product*location,producer,我記得<微軟>好像有提醒要啟用才能啟用全功能，也就是你只要,producer,product,False
ORG,特斯拉,business,producer*product*location,product,我認為銀車的位置是看得到<特斯拉>的,product,product,True
ORG,台大,university,organization*location*human,organization,請他們夫妻倆不要再侮辱<台大>醫科了好嗎,organization,organization,True
ORG,台電,business,producer*product*location,producer,，達成不與台電完成調整購售電費率的合意，並「以拖待變」聯合拒絕和<台電>協商。,producer,producer,True
WORK_OF_ART,諾貝爾文學獎,award,physical*event*human,event,兩遍嗎？覺得<諾貝爾文學獎>的文章無聊難懂看不下去，不奇怪,human,event,False
ORG,吉野家,business,producer*product*location,product,以前喜歡吃<吉野家>也是當初一個店員非常親切 後來店員,product,,False
ORG,好市多,business,producer*product*location,location,若您剛好明天白天會至<好市多>購物的話,location,location,True
ORG,家樂福,business,producer*product*location,location,我是綁信用卡花光了，應該是去<家樂福>全聯之類的買日常生活用品還有食材花光了,location,location,True
WORK_OF_ART,聯合報,mass media,organization*information*physical*human,information,好啦你繼續信<聯合報> 我是覺得英文別太爛的都看得懂那篇,information,information,True
GPE,桃園,human-geographic territorial entity,location*organization,organization,我看不出目前為止這裡任何一篇文章對<桃園>有「恨」，不管是對桃園市，桃園市民，桃園,organization,organization,True
ORG,德軍,military unit,organization*human,organization,1936年3月，希特勒命令3萬德軍進駐萊茵河非軍事區。這一行動卻引起<德軍>高級將領的驚,organization,organization,True
ORG,日軍,military unit,organization*human,organization,當年<日軍>一面派出艦隊直逼夏威夷,organization,organization,True
GPE,德國,human-geographic territorial entity,location*organization,organization,就連先進國家<德國>對於要不要使用華為5G建設感到辣手頭痛,organization,organization,True
GPE,瑞士,human-geographic territorial entity,location*organization,dot,今天才在跟朋友講<瑞士>好像沒有案例XD,dot,location,False
ORG,護家盟,organization,organization*location*human,organization,這時候是不是要請教女權或是<護家盟>團體 禮樂崩壞？,organization,organization,True
ORG,中國人民解放軍,military unit,organization*human,organization,簡單來說，川普政府正在研究一項計畫，計畫內容是美國政府將會開始驅逐那些與中國軍校有關的留學生，取消他們的簽證。所謂有關，可能是從他們學校畢業，或是領取了<中國人民解放軍>的獎學金等，只要有與中國人民解放軍附屬大學結束的中國人，禁止進入美國就學或進行研究。,organization,organization,True
ORG,中華航空,business,producer*product*location,producer,有英文大師可以告訴我為啥是<中華航空>,producer,producer,True
ORG,微軟,business,producer*product*location,X,大」），但因是由過去惡名昭彰的美國國安局（NSA）通報微軟而受人矚目。<微軟>已經在,x,producer,False
GPE,英國,human-geographic territorial entity,location*organization,organization,草案，美國、<英國>等國家曾邀請日本加入嚴厲譴責中國的行列，遭到拒絕，有相關人士透,organization,organization,True
ORG,台積電,business,producer*product*location,producer,長期以來，<台積電>一直都是華為海思芯片的最大代工商，但是受到美國「釜底抽薪」式的,producer,producer,True
GPE,花蓮,human-geographic territorial entity,location*organization,X,在花蓮這麼久從沒看過<花蓮>王這麼急過,X,X,True
ORG,台積電,business,producer*product*location,X,跟岡山的模具廠螺絲廠比起來算<台積電>了,?,?,True
ORG,吉野家,business,producer*product*location,producer,我以前很喜歡吃<吉野家>的牛丼跟雞肉...大概25年前.,producer,producer,True
ORG,AIT,organization,organization*location*human,organization,」論壇活動，<AIT>處長酈英傑、外交部長吳釗燮和國家通訊傳播委員會主委陳耀祥、行政,organization,organization,True
ORG,北大,university,organization*location*human,organization,<北大>以外的地名大學跟國立可以跟私立老牌併在一起,organization,organization,True
ORG,台灣大學,university,organization*location*human,organization,<台灣大學>副校長、傳染病防治醫療網台北區指揮官張上淳表示，目前篩檢對象為具有接觸,organization,organization,True
ORG,華為,business,producer*product*location,producer,美國商務部今天公佈，將繼續對<華為>的許可證進行延期到5月15日,producer,producer,True
ORG,特斯拉,business,producer*product*location,producer,財經網站MarketWatch報導，<特斯拉>執行長馬斯克時隔一天才在推特上發文，批評人,producer,producer,True
GPE,桃園市,human-geographic territorial entity,location*organization,location,8.其扶養費用可依106 年度<桃園市>每人每月平均數之消費支出2萬1684元計算可認適當。,location,location,True
ORG,吉野家,business,producer*product*location,producer,而<吉野家>也是在台深耕十幾年的老店，,producer,producer,True
GPE,臺北,human-geographic territorial entity,location*organization,organization,今天這場選舉，不僅是<臺北>市長的選舉，而是中華民國跟臺灣共和國的選舉，,organization,organization,True
WORK_OF_ART,諾貝爾和平獎,award,physical*event*human,physical,我只知道某家出版社應該得<諾貝爾和平獎>,physical,physical,True
ORG,臺大,university,organization*location*human,organization,一名臺大生在PTT發文，表示自己在選課系統竟發現朱立倫返<臺大>教書，,organization,organization,True
ORG,微軟,business,producer*product*location,producer,在川普宣布暫停出資後，<微軟>創辦人比爾蓋茲在推特上警告，在全球疫情尚未結束之,producer,producer,True
ORG,陸軍,military unit,organization*human,organization,<陸軍>不知道，但我們以前會去隔壁海軍搬伙食當加菜，,organization,organization,True
ORG,蘋果,business,producer*product*location,producer,擁核思考過台積電晚上生產的產品台積電怎麼跟<蘋果>證實是用,producer,?,False
ORG,華爾街日報,mass media,organization*information*physical*human,organization,川普受訪當天，波頓即將出版的白宮回憶錄部分內容在多家媒體搶先曝光。<華爾街日報>摘錄，川普去年6月向中國國家主席習近平求情，希望中方採購更多農產品，助他打贏連任選戰，川普還稱習近平是「中國史上最偉大領導人」。,organization,organization,True
PRODUCT,肯德基,business,producer*product*location,product,6.備註:肥宅當自強!先吃一桶<肯德基>全家餐和一瓶百事可樂才有力氣減肥!,product,producer,False
GPE,桃園,human-geographic territorial entity,location*organization,location,來桃園啦...... 台北太藍<桃園>比較多看政績的選民,location,location,True
GPE,臺北,human-geographic territorial entity,location*organization,organization,<臺北>再怎麼樣也不會有柯屁黨的份,organization,organization,True
ORG,華航,business,producer*product*location,producer,交通部跟<華航>高層都要參與紓困會議喔,producer,producer,True
GPE,台中市,human-geographic territorial entity,location*organization,organization,蔡其昌表示，今年初總統及立委選舉才剛結束，台中市民期待新民意選出來的總統和立委，能為<台中市>帶來什麼樣的建設和願景，而非討論什麼位置，現階段他會持續傾聽民意、勤走基層，只要對台中好的建設，他都會不分藍綠，繼續在中央大力為台中爭取，做好市民期盼我們該做的事。,organization,location,False
ORG,塔利班,religious organization,organization*human,organization,美國與塔利班今年2月達成具里程碑意義的和平協議，內容包括阿富汗與<塔利班>進行換囚行動與推動阿富汗內部和談，以及駐阿富汗的美軍與盟國部隊將於2021年5月之前，撤出阿富汗。,organization,organization,True
ORG,好市多,business,producer*product*location,location,狗籠大小大概是<好市多>那個小倉庫的一半,producer,location,False
GPE,新北,human-geographic territorial entity,location*organization,location,〔記者邱書昱／<新北>報導〕新北市長侯友宜今天到新店碧潭視察武漢肺炎防疫，針對五一,location,location,True
ORG,美國在台協會,organization,organization*location*human,organization,疫情訊息，前<美國在台協會>理事主席卜睿哲表示，若2300萬台灣人不能從世衛組織獲益，,organization,organization,True
ORG,納粹,political party,organization*human,organization,今天兩雄元首發布聯合聲明，紀念七十五年前美蘇會師易北河河畔，共殲人類公敵法西斯<納粹>。,organization,organization,True
ORG,清大,university,organization*location*human,organization,成大、<清大>、交大這三間在我心目中算是台灣的二線大學無誤。,organization,organization,True
ORG,政大,university,organization*location*human,organization,<政大>兼任特聘教師授課待遇以法定鐘點費支給，還給予同額授課獎助金，等於可拿一般兼,organization,organization,True
ORG,國軍,military unit,organization*human,organization,國防部指出，<國軍>幹部為部隊之骨幹，如果意志不堅，未服滿招生簡章最少年限即志願申,organization,organization,True
PRODUCT,星巴克,business,producer*product*location,product,路易莎咖啡很難喝<星巴克>則是咖啡對不起價錢,product,producer,False
GPE,法國,human-geographic territorial entity,location*organization,location,女海關高聲叫道：不可能！英國佬來<法國>我們永遠都要檢查護照！,location,location,True
ORG,好市多,business,producer*product*location,location,水雞維是台南<好市多>斜對面的一個小攤，,location,location,True
PRODUCT,安卓,business,producer*product*location,product,從<安卓>轉蘋果一開始眼睛比較敏感者感受很明顯qq,product,product,True
GPE,紐約,human-geographic territorial entity,location*organization,organization,對台灣參與世衛的支持，特別是布倫博格的身分是美國在聯合國<紐約>總部之外，另一重要,organization,location,False
ORG,清華大學,university,organization*location*human,organization,<清華大學>13日上午舉行畢業典禮，邀請衛福部長陳時中擔任致詞貴賓。陳時中以領導台灣,organization,organization,True
GPE,瑞典,human-geographic territorial entity,location*organization,organization,市關係。與此同時，<瑞典>關閉了所有孔子學院，成為歐洲第一個清零孔子學院的國家。,organization,organization,True
ORG,海軍,military unit,organization*human,organization,因為總統是三軍統帥= =你如果有覺得<海軍>這次有做得不好,organization,organization,True
GPE,日本,human-geographic territorial entity,location*organization,location,我已經打算今年都不要到<日本>做生意了,location,location,True
WORK_OF_ART,蘋果日報,mass media,organization*information*physical*human,organization,以前買過<蘋果日報>出的時裝秀合輯，很大、薄薄一本那個,organization,organization,True
WORK_OF_ART,蘋果,mass media,organization*information*physical*human,organization,據《<蘋果>》調查，蝦皮被質疑為中資時，2017年10月，曾有律師葉光洲向台北地檢署提告,organization,organization,True
ORG,台大,university,organization*location*human,organization,結果只選<台大>物理，那個年代台大物理分數排名還蠻後面,organization,organization,True
WORK_OF_ART,諾貝爾文學獎,award,physical*event*human,physical,再多跌幾千看來台灣要拿<諾貝爾文學獎>,physical,physical,True
ORG,交大,university,organization*location*human,organization,今天在新竹看到陳其邁好大一塊看板 叫<交大>的快回去投票,organization,organization,True
WORK_OF_ART,自由時報,mass media,organization*information*physical*human,information,我最早是都看<自由時報>和蘋果日報啦,information,information,True
ORG,國民黨,political party,organization*human,organization,羅智強指出，吳思懷現在已經是最有新聞熱度的立法委員。做不好，<國民黨>一起扣分；做,organization,organization,True
ORG,政大,university,organization*location*human,organization,合適的人選可能就是指<政大>教授用詠春打學生的意思一樣,organization,organization,True
WORK_OF_ART,聖經,work of art,information*physical,information,可是<聖經>裡面講了很多信上帝而得福報,information,information,True
ORG,北大,university,organization*location*human,organization,朋友家裡也窮窮的心想<北大>也屌打台大,organization,organization,True
ORG,紐約時報,mass media,organization*information*physical*human,organization,:https://reurl.cc/pdX2L8川普正把美國帶往存亡邊緣<紐約時報>中文網  保羅·克魯曼2020年6月2日,organization,organization,True
GPE,緬甸,human-geographic territorial entity,location*organization,organization,第二 <緬甸>老戰機連續好幾次突入雲南轟炸 pla還是沒任,organization,location,False
ORG,高鐵,business,producer*product*location,product,另外，恢復雙鐵列車上商品販售，國內航線空運航班恢復提供飲品。台鐵新自強號連續假期開放銷售站票，惟採總量管制每列車以 120 人為限；<高鐵>連續假期也可販售自由座，除增開加班車外，也將透過月台、穿堂層與閘門前等排隊人流，控管站位人數。,product,producer,False
ORG,臺大,university,organization*location*human,dot,18:36抵達<臺大>兒醫，下車的時候剛好就是太太陣痛的時候，警衛大哥就幫忙拿了一台輪,organization,location,False
GPE,新北市,human-geographic territorial entity,location*organization,location,<新北市>泰山區一名李姓男子與簡姓超商店員互不相識，卻趁簡男補貨之際，持20公分水果,location,location,True
ORG,北大,university,organization*location*human,organization,我自一月初診治首例患者不久後自己也得病，一直戰鬥在抗擊武漢肺炎的第一線，擔任<北大>,organization,?,False
ORG,清大,university,organization*location*human,human,考不上醫學系的低分<清大>仔也想蹭清大有醫學系沾光 就知道醫,human,organization,False
ORG,好市多,business,producer*product*location,location,"跟水仙宮家樂福<好市多>武聖夜市金華路宵夜街都不遠,原",location,location,True
ORG,中國國民黨,political party,organization*human,organization,同時也註定了<中國國民黨>換頭成功後，必然引誘日本發動戰,organization,organization,True
ORG,民進黨,political party,organization*human,organization,國民黨以前過半一直玩不過<民進黨>在立法院 就是敗給王金,organization,organization,True
ORG,美軍,military unit,organization*human,organization,防東亞<美軍>的質量並增加其數量以抵消(off-set)中國的軍力。,organization,organization,True
PRODUCT,蘋果,business,producer*product*location,product,新冠肺炎疫情嚴重打擊手機市場，就連向來價格堅挺的<蘋果>也開始加入價格戰。近日大陸,product,producer,False
GPE,新北,human-geographic territorial entity,location*organization,location,台北一堆<新北>過橋的流動人口怎麼能只除戶籍會準,location,location,True
ORG,微博,business,producer*product*location,product,台灣禁止出口口罩就已經被<微博>中國網,product,product,True
ORG,德國之聲,mass media,organization*information*physical*human,organization,總統蔡英文的前競辦發言人林靜儀日前接受《<德國之聲>》專訪，本要是意氣風發的闡述滿,organization,organization,True
ORG,台積電,business,producer*product*location,product,當初沒買<台積電>買聯電真是倒楣爆了,product,product,True
ORG,小米,business,producer*product*location,product,只不過是貪便宜而已，價錢一樣時還會選<小米>的就是浩呆了,product,product,True
ORG,台鐵,business,producer*product*location,product,〔記者劉濱銓／南投報導〕<台鐵>集集支線石虎彩繪列車再添生力軍！由集集特生中心與台,product,product,True
ORG,家樂福,business,producer*product*location,location,昨天去<家樂福>跟大潤發都說沒貨了,location,location,True
PRODUCT,TikTok,business,producer*product*location,product,成功收購廣受歡迎的<TikTok>的美國業務可能是微軟的一大收穫。但如果其中的代價包括向美國財政部支付一筆不當費用，那麼美國企業界參與其中將得不償失。,product,product,True
GPE,臺北,human-geographic territorial entity,location*organization,organization,2020<臺北>上海城市論壇落幕，兼任台灣民眾黨主席的臺北市長柯文哲務實提出「兩岸三好,organization,location,False
ORG,台大,university,organization*location*human,organization,"台大學生父母所得相對較高跟<台大>裡面有中產階級+清寒人士,兩者又不是相悖條件",organization,organization,True
ORG,中山大學,university,organization*location*human,organization,到時<中山大學>依照審查機制追回學位就別哭夭,organization,organization,True
ORG,長榮,business,producer*product*location,producer,推測台灣航空的商標權還在<長榮>手中吧?,producer,producer,True
WORK_OF_ART,蘋果,mass media,organization*information*physical*human,organization,剛剛看到香港<蘋果>報導特首林鄭支持度剩9% 創上任新低,organization,information,False
ORG,中原大學,university,organization*location*human,location,"以前常常聽到中原標準時間是因為剛好時區位在<中原大學>天文台上,",location,location,True
ORG,北大,university,organization*location*human,organization,這份<北大>青年畢業生特刊，政府管理學院的博士畢業生名單有一位韓先生。,organization,organization,True
ORG,大潤發,business,producer*product*location,product,物流箱裡的哪一個東西沒比<大潤發>貴?,product,producer,False
WORK_OF_ART,蘋果日報,mass media,organization*information*physical*human,human,如果你被針對，那就是你有漏洞可以追，而且不夠大咖<蘋果日報>還不屑花時間去追，,human,organization,False
ORG,師大,university,organization*location*human,organization,<師大>校長謝東閔和繼任的校長劉真高度配合,organization,organization,True
ORG,師大,university,organization*location*human,location,<師大>雖然店一直在減少但我覺得風格比較多元,location,location,True
GPE,荷蘭,human-geographic territorial entity,location*organization,organization,比利時美國西班牙巴西法國<荷蘭>還在發展,organization,organization,True
ORG,北大,university,organization*location*human,location,何止倒到台灣，根本會把我們人民送去<北大>荒挖爐渣,location,organization,False
ORG,華為,business,producer*product*location,producer,叫他們<華為>沒晶片了就來推行全民刻晶片啊,producer,producer,True
ORG,三星,business,producer*product*location,producer,"<三星>為IBM代工生產晶片，將有助於在全球非記憶晶片市場挑戰台積電、高通等競爭對手。三星去年宣布，到2030年前將投資133兆韓元（1,157億美元），以擴大非記憶體晶片和晶圓代工業務，以搶奪市場龍頭寶座。三星將把其中73兆韓元用於在地研發作業，其他60兆韓元則用於購置生產設備。",producer,producer,True
ORG,成大,university,organization*location*human,organization,但是小弟很好奇為何<成大>會輸青椒，成大在火車站附近，交通方便，附近又有商圈賣台南美,organization,organization,True
WORK_OF_ART,諾貝爾文學獎,award,physical*event*human,physical,也有<諾貝爾文學獎>得主承認為了寫作沒時間戀愛 都嫖妓,physical,physical,True
WORK_OF_ART,水滸傳,work of art,information*physical,information,「...<水滸傳>是在講北宋山東梁山伯以宋江為首官逼民反的故事」,information,information,True
GPE,波蘭,human-geographic territorial entity,location*organization,organization,的死亡集中營都位於現在的波蘭境內，大量<波蘭>人也在當時命喪希特勒的戰爭機器下。,organization,organization,True
ORG,中華電信,business,producer*product*location,producer,桃園市長 鄭文燦:「我要恭喜，虎頭山園區由<中華電信>轉投資的勤崴，得到了交,producer,producer,True
ORG,解放軍,military unit,organization*human,organization,大學抽調450餘人的<解放軍>醫療隊馳援武漢抗疫一線，全軍一萬餘名醫護人員全力投入抗,organization,organization,True
WORK_OF_ART,金鐘獎,award,physical*event*human,event,小豬和愷樂奪下<金鐘獎>綜藝節目主持人獎，好一對XDDDD,event,physical,False
ORG,台大,university,organization*location*human,organization,那這樣子<台大>這種人超多的學校很吃香耶。,organization,organization,True
GPE,英國,human-geographic territorial entity,location*organization,organization,她表示，在這次危機之前，英國政府原本以為中國對西方世界的任何威脅都在控制當中，因此允許華為投入英國的5G建設。這項決定受到美國、澳洲和部分<英國>國會議員強烈反對，認為將危害英國的國家安全，受國家掌控的華為會藉此把中國監視設備，植入全球通訊系統當中。,organization,organization,True
GPE,桃園市,human-geographic territorial entity,location*organization,location,〔記者周敏鴻／桃園報導〕<桃園市>林姓男子2日晚間9點多騎機車載著女友行經桃園區成功,location,location,True
ORG,美國之音,mass media,organization*information*physical*human,organization,據<美國之音>報道，英國蘭卡斯特大學、英國格拉斯哥大學病毒研究中心和美國佛羅里達大,organization,organization,True
ORG,德國之聲,mass media,organization*information*physical*human,physical,何況<德國之聲>中文版早就被中國人搞爛,physical,information,False
GPE,泰國,human-geographic territorial entity,location*organization,organization,目前至少已有6個亞洲國家和地區開始對來自中國武漢的旅客進行篩查，其中包括<泰國>和日本。,organization,organization,True
GPE,英國,human-geographic territorial entity,location*organization,organization,4月12日復活節是<英國>重要的節日之一，不過如今卻成為該國最悲傷的一天，英國衛生大,organization,organization,True
PRODUCT,勞斯萊斯,business,producer*product*location,product,「戲說一姊」藝人陳小菁的老公林佐岳，前天坐著司機駕駛的<勞斯萊斯>在嘉義市和一輛機,product,product,True
GPE,荷蘭,human-geographic territorial entity,location*organization,organization,<荷蘭>政府長期從民間把土地收購回去政府手上,organization,organization,True
ORG,高鐵,business,producer*product*location,product,新竹市。當時他認為新竹<高鐵>站設在竹北市，高鐵大幅縮短台灣南北的距離，帶動台灣朝,product,product,True
ORG,護家盟,organization,organization*location*human,human,反正<護家盟>覺得同性戀違背倫常天理也是看法不同而已,human,human,True
ORG,民進黨,political party,organization*human,organization,有些人還在鬧或者幫<民進黨>說話真的夠了吧，這些東西你,organization,organization,True
ORG,哈佛,university,organization*location*human,X,足是在<哈佛>?讓韓國瑜當總統也不會發生這麼扯的事,?,?,True
ORG,星巴克,business,producer*product*location,product,還節省經費哩 上旅館不知道是一杯<星巴克>的幾倍了,product,product,True
ORG,台彩,business,producer*product*location,producer,至於怎麼讓這些武漢台胞相信他們抽中日本免費機票？這就要靠<台彩>加班想點新梗了。,producer,producer,True
GPE,紐約,human-geographic territorial entity,location*organization,X,很多外州醫護早就想擠進薪水高的紐約州工作了只是<紐約>執,X,organization,False
WORK_OF_ART,花木蘭,work of art,information*physical,physical,《<花木蘭>》大陸首日票房慘淡環時批評藝術水平低,physical,physical,True
GPE,荷蘭,human-geographic territorial entity,location*organization,organization,「法國和其他六個國家支持發行歐元債券，但<荷蘭>、奧地利、芬蘭和德國強烈表示反對」,organization,organization,True
ORG,吉野家,business,producer*product*location,producer,而且台灣<吉野家>跟日本的味道不一樣...肉質也有差，尤其是,producer,producer,True
ORG,交大,university,organization*location*human,X,會認為<交大>認真在裝的是搞錯了吧 那看起來就沒有要,?,?,True
ORG,哈佛大學,university,organization*location*human,organization,那麼學校之間是否能比較呢？如果能的話那華岡藝校跟<哈佛大學>哪個比較低呢？,organization,organization,True
ORG,哈佛,university,organization*location*human,organization,習維尼的女兒為什麼不念中國大學，要去美國<哈佛>？,organization,organization,True
ORG,微信,business,producer*product*location,producer,報告中指出，雖然非中國用戶沒有像境內用戶一樣受到監控，但<微信>仍會分析境外用戶發,producer,producer,True
PRODUCT,Google,business,producer*product*location,producer,詢字串時，<Google>的目標是確保使用者在幾秒鐘內就能得到最相關的預測及資訊。Google,producer,product,False
GPE,臺灣,human-geographic territorial entity,location*organization,organization,裡？那航空板為什麼有<臺灣>抓到的他國入境,organization,organization,True
ORG,中國共產黨,political party,organization*human,organization,過強硬手段來逼迫他噤聲。 他說:「因為我時常批判昆士蘭大學校方與<中國共產黨>之間的關,organization,organization,True
ORG,台彩,business,producer*product*location,dot,前總統李登輝30日晚間7時24分辭世，享耆壽98歲。<台彩>今彩539第109183期開獎，中獎號碼居然巧合與李前總統住院天數、病逝時間相同，讓不少網友看完都傻了。據台彩官網公布，有5名幸運得主中頭獎，每人可拿新台幣480萬元。,dot,dot,True
GPE,新北市,human-geographic territorial entity,location*organization,organization,柯粉四天王覺得<新北市>的能源監控管理是不是可以作為台北市未來改進的方向呢？,organization,organization,True
